label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
0	1457 m^2	1.7019	BASEBALL	eRIQ	0.121 N	Pig	569	659	1.156	559	1052	1.0055	0.6082	-72	-0.2768
1	-138 m^2	0.5365	track & field	Michael	0.2781 N	rabbit	42	484	0.6524	512	166	-0.2534	0.4934	-9	0.3617
0	-1057 m^2	-0.6354	football	Eriq	0.4578 N	pig	1623	-582	0.8382	-571	1016	-1.8674	1.4552	1134	2.2331
2	1439 m^2	0.895	badminton	Tony, Chris	-0.1466 N	dog	-324	-643	1.8613	486	1092	1.0205	-0.3142	795	-0.0169
0	571 m^2	0.4949	baseball	Eriq	0.4378 N	pig	-36	201	-0.4205	536	823	-0.1909	-0.2535	343	0.0196
3	667 m^2	0.2271	golf	Fabrice	0.4403 N	bird	1344	1735	0.6886	790	-886	0.7431	2.4083	2494	0.0564
1	-1672 m^2	0.7107	soccer	Inan	0.0724 N	ferret	435	370	0.5517	373	745	-0.1276	1.697	-775	-1.1217
1	-138 m^2	1.0591	track & field	Inan	0.166 N	fish	1430	446	1.7859	1605	-1016	-0.139	-0.4094	475	-0.424
0	-982 m^2	-0.2325	baseball	Eriq	1.6791 N	pig	1000	1362	1.3543	1102	75	1.0253	0.9576	566	0.9912
3	348 m^2	0.0476	motor sports	Reilly, Fabrice	-0.8252 N	hamster	902	831	-0.8137	1119	-522	0.3389	1.6414	1336	0.0438
1	603 m^2	1.7271	SOCCER	Michael	-0.0995 N	ferret	523	-152	1.3967	1000	392	0.345	1.3274	906	0.7501
2	1389 m^2	-0.361	boxing	Vani, Tony	1.5203 N	rat	51	4	-0.229	681	-543	1.1865	0.5346	-4	0.6248
1	791 m^2	0.6006	soccer	Michael	0.3075 N	FISH	-525	657	0.3587	630	-1134	0.0428	2.0869	-87	-1.1798
3	989 m^2	0.7529	golf	Eriq	-1.0359 N	hamster	-433	1877	0.7213	1404	405	-1.0171	n/a	1220	-0.2726
0	1550 m^2	1.2079	football	Eriq	0.5734 N	pig	1498	1710	-0.1613	1924	1959	0.5248	-0.5755	447	0.6504
0	-61 m^2	0.8638	football	Eriq	-0.4252 N	pig	1353	-123	-0.9044	-743	2069	1.2366	-0.6736	1094	-0.4041
3	1132 m^2	-0.1531	motor sports	Reilly, Sam, Andrew	0.4066 N	bird	2170	1797	0.8924	1345	756	0.7659	1.5902	1250	0.207
2	989 m^2	-0.1352	ice hockey	Lise, Tony	0.3469 N	reptile	41	-106	0.3938	27	396	0.6732	1.5828	-584	-0.6309
1	-190 m^2	0.3809	soccer	Inan	0.1972 N	fish	-86	?	1.2328	-1053	-221	0.9109	1.1146	749	0.8368
3	654 m^2	0.3594	motor sports	Andrew, Reilly	-0.7574 N	hamster	2427	-19	0.598	905	615	1.7123	0.4328	524	-0.796
2	487 m^2	0.4063	volleyball	Chris	1.7744 N	cat	1347	88	0.3763	1619	-334	0.8993	-0.8033	1134	-0.9433
2	218 m^2	0.8607	volleyball	Tony, Lise	-0.328 N	rat	200	-191	1.2631	1419	1242	0.0045	-1.4117	353	-1.5648
0	-1314 m^2	1.1814	football	Eriq	-1.3309 N	pig	1274	1945	1.2341	79	2542	-0.4441	-0.5875	-698	0.545
2	1307 m^2	0.4546	boxing	Tony, Chris, Lise	0.8651 N	guinea pig	573	-408	-0.3621	1564	-272	-0.7203	-0.9324	-1928	-0.2756
0	651 m^2	0.2181	running	Tony	-1.1337 N	pig	536	1384	1.0599	503	425	-0.2749	-1.8007	-40	1.9206
2	366 m^2	0.1659	boxing	Lise	0.418 N	rat	-790	-1317	0.5719	-483	None	0.3255	0.0302	-284	0.8846
0	-639 m^2	1.4174	baseball	Eriq	0.6716 N	pig	-198	37	0.0009	323	-108	2.2211	-0.2004	752	0.5304
1	-268 m^2	-0.8832	soccer	Inan	-0.6289 N	fish	-1889	-1403	1.0175	653	912	0.4195	1.3404	1081	-0.6929
2	1516 m^2	0.5942	boxing	Vani, Chris, Tony	0.3684 N	pig	745	-368	0.7873	2230	800	-0.2268	1.1837	-453	-0.8007
3	2003 m^2	-1.1845	golf	Andrew	0.8487 N	hamster	2010	2219	0.126	369	311	0.1195	1.4703	484	0.3343
3	1459 m^2	0.5953	golf	Fabrice, Andrew	-0.4278 N	hamster	1421	1574	0.5859	1135	1266	0.8365	1.5356	1078	-0.2053
0	-498 m^2	1.1854	running	Eriq	-0.0389 N	pig	527	964	0.28	762	801	0.9838	1.8875	1307	1.3369
0	-723 m^2	0.4249	baseball	Eriq	0.8593 N	pig	600	1765	0.3957	843	-348	0.6989	1.8709	1659	1.0123
